date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
11/28/22,1908,FIFA World Cup,Portugal,Uruguay,87.3,79.7,0.4392,0.2628,0.298,1.37,1,2,0,1.42,1.18,1.28,1.36,1.58,0
11/29/22,1908,FIFA World Cup,Netherlands,Qatar,84.38,48.46,0.7768,0.0696,0.1536,2.6,0.65,,,,,,,,
11/29/22,1908,FIFA World Cup,Ecuador,Senegal,75.82,73,0.3668,0.2961,0.3371,1.06,0.92,,,,,,,,
11/29/22,1908,FIFA World Cup,Wales,England,65.17,85.41,0.1437,0.6,0.2564,0.7,1.72,,,,,,,,
11/29/22,1908,FIFA World Cup,Iran,USA,69.26,72.55,0.3082,0.3764,0.3154,1.04,1.18,,,,,,,,
11/30/22,1908,FIFA World Cup,Australia,Denmark,62.45,77.68,0.1985,0.522,0.2795,0.85,1.56,,,,,,,,
11/30/22,1908,FIFA World Cup,Tunisia,France,65.92,90.15,0.1116,0.651,0.2374,0.6,1.82,,,,,,,,
11/30/22,1908,FIFA World Cup,Saudi Arabia,Mexico,62.01,72.44,0.2307,0.4627,0.3066,0.86,1.34,,,,,,,,
11/30/22,1908,FIFA World Cup,Poland,Argentina,68.95,86.03,0.1547,0.5784,0.2669,0.71,1.64,,,,,,,,
12/1/22,1908,FIFA World Cup,Canada,Morocco,71.52,74.99,0.2898,0.3956,0.3147,0.99,1.21,,,,,,,,
12/1/22,1908,FIFA World Cup,Croatia,Belgium,80.87,79.44,0.3881,0.3253,0.2866,1.38,1.24,,,,,,,,
12/1/22,1908,FIFA World Cup,Costa Rica,Germany,52.9,88.86,0.0512,0.8045,0.1442,0.5,2.55,,,,,,,,
12/1/22,1908,FIFA World Cup,Japan,Spain,73.68,90.62,0.1391,0.6135,0.2474,0.71,1.79,,,,,,,,
12/2/22,1908,FIFA World Cup,South Korea,Portugal,70.35,87.55,0.1666,0.5866,0.2468,0.86,1.84,,,,,,,,
12/2/22,1908,FIFA World Cup,Ghana,Uruguay,60.5,79.28,0.1564,0.5669,0.2766,0.68,1.57,,,,,,,,
12/2/22,1908,FIFA World Cup,Cameroon,Brazil,64.48,93.48,0.0363,0.8112,0.1524,0.31,2.29,,,,,,,,
12/2/22,1908,FIFA World Cup,Serbia,Switzerland,74.72,77,0.3126,0.3965,0.2909,1.18,1.36,,,,,,,,
